Customer ID,First Name,Last Name,Age,Gender,Address,City,Contact Number,Email,Account Type,Account Balance,Date Of Account Opening,Last Transaction Date,TransactionID,Transaction Date,Transaction Type,Transaction Amount,Account Balance After Transaction,Label
1,Joshua,Hall,45,Male,Address_1,Fort Worth,19458794854,joshua.hall@kag.com,Current,1313.38,5/26/2006,4/23/2023,1,12/7/2023,Withdrawal,1457.61,2770.99,0
2,Mark,Taylor,47,Female,Address_2,Louisville,19458794855,mark.taylor@kag.com,Current,5988.46,3/2/2006,1/27/2023,2,4/27/2023,Deposit,1660.99,7649.45,0
3,Joseph,Flores,25,Female,Address_3,Philadelphia,19458794856,joseph.flores@kag.com,Current,8277.88,7/19/2015,1/1/2023,3,4/5/2023,Deposit,839.91,7437.97,0
4,Kevin,Lee,52,Other,Address_4,Oklahoma City,19458794857,kevin.lee@kag.com,Savings,7487.21,1/30/2008,8/2/2023,4,7/28/2023,Withdrawal,4908.89,12396.1,0
5,Linda,Johnson,68,Other,Address_5,Phoenix,19458794858,linda.johnson@kag.com,Savings,6993.55,5/25/2021,3/27/2023,5,1/16/2023,Transfer,589.07,6404.48,0
6,Charles,Torres,52,Male,Address_6,El Paso,19458794859,charles.torres@kag.com,Savings,9295.64,12/21/2015,6/4/2023,6,4/21/2023,Withdrawal,4914.67,4380.97,0
7,Joshua,Garcia,43,Male,Address_7,Dallas,19458794860,joshua.garcia@kag.com,Current,4005.72,7/7/2022,3/21/2023,7,11/22/2023,Deposit,3534.9,470.82,0
8,Christopher,Baker,47,Male,Address_8,Memphis,19458794861,christopher.baker@kag.com,Savings,1458.45,12/14/2022,3/1/2023,8,8/10/2023,Deposit,454.87,1003.58,0
9,Daniel,Moore,52,Male,Address_9,Indianapolis,,daniel.moore@kag.com,Current,1109.3,,11/5/2023,,9/28/2023,Withdrawal,2036.7718131978972,340.74,1
10,William,Robinson,55,Other,Address_10,Washington,19458794863,william.robinson@kag.com,Current,9554.62,12/20/2021,2/5/2023,10,12/29/2023,Deposit,1641.59,11196.21,0
11,William,Perez,28,Male,Address_11,San Diego,19458794864,william.perez@kag.com,Savings,5930.75,8/12/2015,10/18/2023,11,6/8/2023,Withdrawal,1309.13,7239.88,0
12,Nancy,Allen,37,Female,Address_12,Oklahoma City,19458794865,nancy.allen@kag.com,Current,8126.85,9/13/2005,10/16/2023,12,4/4/2023,Deposit,4865.91,12992.76,0
13,Margaret,Robinson,63,Female,Address_13,Columbus,19458794866,margaret.robinson@kag.com,Savings,5402.04,,11/21/2023,13,12/2/2023,Deposit,3070.58,,1
14,Michelle,Taylor,48,Female,Address_14,Colorado Springs,19458794867,michelle.taylor@kag.com,Savings,4045.09,8/14/2014,12/29/2023,14,10/27/2023,Transfer,381.21,4426.3,0
15,Nancy,Nelson,51,Other,Address_15,Atlanta,19458794868,nancy.nelson@kag.com,Savings,2082.67,9/16/2015,6/24/2023,15,6/13/2023,Withdrawal,2631.77,-549.1,0
16,Michael,Young,29,Male,Address_16,Fresno,19458794869,michael.young@kag.com,Savings,8578.44,10/2/2016,12/20/2023,16,10/23/2023,Transfer,4486.73,13065.17,0
17,Lisa,Adams,65,Female,Address_17,Austin,19458794870,lisa.adams@kag.com,Current,728.8,7/7/2006,12/18/2023,17,11/15/2023,Transfer,2086.75,2815.55,0
18,Mary,Wilson,45,Female,Address_18,Omaha,19458794871,mary.wilson@kag.com,Savings,9012.31,8/12/2019,3/30/2023,18,9/12/2023,Deposit,3333.99,5678.32,0
19,Nancy,Martinez,20,Other,Address_19,Tucson,19458794872,nancy.martinez@kag.com,Current,2129.63,8/18/2005,2/28/2023,19,11/15/2023,Withdrawal,3868.23,-1738.6,0
20,Amanda,Campbell,65,Other,Address_20,Milwaukee,19458794873,amanda.campbell@kag.com,Savings,194.36,4/24/2017,3/2/2023,20,9/30/2023,Deposit,933.29,-738.93,0
21,Ashley,Scott,59,Other,Address_21,Fresno,19458794874,ashley.scott@kag.com,Savings,1128.58,10/29/2016,8/30/2023,21,2/7/2023,Withdrawal,4278.95,-3150.37,0
22,Donna,King,69,Female,Address_22,San Antonio,19458794875,donna.king@kag.com,Current,8846.74,1/1/2005,10/10/2023,22,7/1/2023,Transfer,2249.62,11096.36,0
23,Mary,Rodriguez,22,Other,Address_23,El Paso,19458794876,mary.rodriguez@kag.com,Savings,829.7,9/2/2011,8/13/2023,23,7/6/2023,Deposit,292.88,536.82,0
24,Holly,,30,Female,Address_24,San Antonio,19458794877,charles.adams@kag.com,Savings,3616.88,,8/10/2023,24,1/25/2023,Deposit,4395.73,8012.61,1
25,Steven,Ramirez,29,Male,Address_25,Boston,19458794878,steven.ramirez@kag.com,Savings,2578.13,6/4/2004,3/31/2023,25,11/29/2023,Transfer,2826.12,5404.25,0
26,Barbara,Hernandez,18,Female,Address_26,Chicago,19458794879,barbara.hernandez@kag.com,Current,464.86,10/1/2022,1/15/2023,26,5/22/2023,Transfer,999.63,1464.49,0
27,Lisa,Wilson,61,,Address_27,,19458794880,lisa.wilson@kag.com,Savings,,7/27/2006,12/31/2023,27,,Withdrawal,1594.08,3767.44,1
28,Amanda,Hill,60,Female,Address_28,Oklahoma City,19458794881,amanda.hill@kag.com,Savings,9983.5,8/10/2018,7/4/2023,28,1/25/2023,Deposit,2851.17,12834.67,0
29,Matthew,Campbell,36,Male,Address_29,Fresno,19458794882,matthew.campbell@kag.com,Savings,8544.77,11/12/2000,7/23/2023,29,10/18/2023,Transfer,1877.13,6667.64,0
30,Ronald,Jackson,46,Female,Address_30,Baltimore,19458794883,ronald.jackson@kag.com,Current,1772.04,2/12/2015,2/10/2023,30,12/1/2023,Withdrawal,1174.58,597.46,0
31,Anthony,Anderson,64,Female,Address_31,San Francisco,19458794884,anthony.anderson@kag.com,Current,8854.73,9/15/2004,6/20/2023,31,6/24/2023,Withdrawal,2401.76,11256.49,0
32,Carol,Ramirez,67,Female,Address_32,Jacksonville,19458794885,carol.ramirez@kag.com,Current,4572.76,5/4/2010,9/25/2023,32,8/20/2023,Transfer,933.38,5506.14,0
33,Betty,White,65,Female,Address_33,Sacramento,19458794886,betty.white@kag.com,Current,2805.18,7/30/2003,7/15/2023,33,5/25/2023,Deposit,1234.44,1570.74,0
34,Jessica,Davis,56,Other,Address_34,Oklahoma City,19458794887,jessica.davis@kag.com,,6439.03,8/23/2005,9/7/2023,34,12/11/2023,Transfer,4135.4,10574.43,1
